No,Tenth_Percentage,Twelfth_Percentage,College_Tier,Degree,Subjects,UG_Percentage,Internship,Shortlisted_for_Interview,Aptitude_Perc,DS_Alg_Knowledge,Projects,Placed_IT
1,74,56,tier3,B.E,CSE,92,No,Yes,60,Novice,No,No
2,81,86,tier2,BTech,ECE,61,Ongoing,No,0,Intermediate,Yes,No
3,70,83,tier2,B.E,MECH,79,No,Yes,40,Intermediate,No,No
4,87,63,tier3,B.E,CIVIL,95,Yes,Yes,88,Intermediate,No,No
5,90,93,tier1,BTech,CIVIL,83,Yes,Yes,57,Intermediate,No,No
6,84,74,tier3,BTech,CIVIL,66,Ongoing,No,0,Advanced,Yes,No
7,85,85,tier2,B.E,IT,87,Ongoing,Yes,56,Intermediate,No,No
8,73,94,tier1,BTech,MECH,75,No,No,0,Advanced,No,No
9,92,88,tier2,B.E,ECE,83,No,Yes,49,Advanced,Yes,No
10,85,58,tier3,BTech,ECE,87,Yes,Yes,100,Novice,Yes,No
11,88,96,tier1,BTech,ECE,65,No,No,0,Advanced,No,No
12,91,82,tier2,BTech,CIVIL,70,Yes,No,0,Advanced,Yes,No
13,83,60,tier3,BTech,ECE,68,Yes,No,0,Intermediate,Yes,No
14,78,86,tier2,BTech,EEE,80,Yes,Yes,61,Intermediate,Yes,No
15,80,61,tier3,BTech,EEE,67,Yes,No,0,Intermediate,No,No
16,95,62,tier3,B.E,ECE,76,Yes,Yes,45,Novice,Yes,No
17,84,62,tier3,BTech,DS&AI,91,No,Yes,59,Intermediate,No,No
18,77,85,tier2,B.E,IT,76,No,Yes,52,Intermediate,Yes,No
19,81,61,tier3,BTech,ECE,93,No,Yes,73,Advanced,Yes,No
20,94,81,tier2,BTech,MECH,68,Yes,No,0,Advanced,No,No
21,80,59,tier3,BTech,ECE,78,No,Yes,87,Advanced,No,No
22,76,68,tier3,BTech,MECH,65,No,No,0,Intermediate,No,No
23,92,55,tier3,BTech,IT,91,No,Yes,68,Intermediate,Yes,No
24,71,66,tier3,B.E,DS&AI,89,Ongoing,Yes,44,Advanced,Yes,No
25,76,87,tier2,B.E,DS&AI,61,No,No,0,Novice,Yes,No
26,70,86,tier2,B.E,EEE,61,No,No,0,Intermediate,No,No
27,83,72,tier3,B.E,CIVIL,62,Ongoing,No,0,Intermediate,Yes,No
28,87,73,tier3,BTech,CSE,86,Yes,Yes,80,Advanced,Yes,No
29,81,78,tier3,BTech,CSE,61,No,No,0,Advanced,No,No
30,80,84,tier2,B.E,IT,62,Yes,No,0,Novice,Yes,No
31,95,61,tier3,B.E,CIVIL,88,Yes,Yes,99,Intermediate,No,No
32,72,75,tier3,B.E,CSE,88,Yes,Yes,54,Advanced,Yes,No
33,82,58,tier3,BTech,MECH,66,Ongoing,No,0,Novice,No,No
34,80,58,tier3,BTech,DS&AI,93,No,Yes,99,Advanced,No,No
35,88,64,tier3,B.E,MECH,88,Ongoing,Yes,67,Novice,Yes,No
36,74,57,tier3,B.E,CSE,62,Yes,No,0,Advanced,No,No
