No,Tenth_Percentage,Twelfth_Percentage,College_Tier,Degree,Subjects,UG_Percentage,Internship,Shortlisted_for_Interview,Aptitude_Perc,DS_Alg_Knowledge,Projects,Placed_IT
1.0,74,56,tier3,B.E,CSE,92,No,Yes,60,Novice,No,No
2.0,81,86,tier2,BTech,ECE,61,Ongoing,No,0,Intermediate,Yes,No
3.0,70,83,tier2,B.E,MECH,79,No,Yes,40,Intermediate,No,No
4.0,87,63,tier3,B.E,CIVIL,95,Yes,Yes,88,Intermediate,No,No
5.0,90,93,tier1,BTech,CIVIL,83,Yes,Yes,57,Intermediate,No,No
6.0,84,74,tier3,BTech,CIVIL,66,Ongoing,No,0,Advanced,Yes,No
7.0,85,85,tier2,B.E,IT,87,Ongoing,Yes,56,Intermediate,No,No
8.0,73,94,tier1,BTech,MECH,75,No,No,0,Advanced,No,No
9.0,92,88,tier2,B.E,ECE,83,No,Yes,49,Advanced,Yes,No
10.0,85,58,tier3,BTech,ECE,87,Yes,Yes,100,Novice,Yes,No
11.0,88,96,tier1,BTech,ECE,65,No,No,0,Advanced,No,No
12.0,91,82,tier2,BTech,CIVIL,70,Yes,No,0,Advanced,Yes,No
13.0,83,60,tier3,BTech,ECE,68,Yes,No,0,Intermediate,Yes,No
14.0,78,86,tier2,BTech,EEE,80,Yes,Yes,61,Intermediate,Yes,No
15.0,80,61,tier3,BTech,EEE,67,Yes,No,0,Intermediate,No,No
16.0,95,62,tier3,B.E,ECE,76,Yes,Yes,45,Novice,Yes,No
17.0,84,62,tier3,BTech,DS&AI,91,No,Yes,59,Intermediate,No,No
18.0,77,85,tier2,B.E,IT,76,No,Yes,52,Intermediate,Yes,No
19.0,81,61,tier3,BTech,ECE,93,No,Yes,73,Advanced,Yes,No
20.0,94,81,tier2,BTech,MECH,68,Yes,No,0,Advanced,No,No
21.0,80,59,tier3,BTech,ECE,78,No,Yes,87,Advanced,No,No
22.0,76,68,tier3,BTech,MECH,65,No,No,0,Intermediate,No,No
23.0,92,55,tier3,BTech,IT,91,No,Yes,68,Intermediate,Yes,No
24.0,71,66,tier3,B.E,DS&AI,89,Ongoing,Yes,44,Advanced,Yes,No
25.0,76,87,tier2,B.E,DS&AI,61,No,No,0,Novice,Yes,No
26.0,70,86,tier2,B.E,EEE,61,No,No,0,Intermediate,No,No
27.0,83,72,tier3,B.E,CIVIL,62,Ongoing,No,0,Intermediate,Yes,No
28.0,87,73,tier3,BTech,CSE,86,Yes,Yes,80,Advanced,Yes,No
29.0,81,78,tier3,BTech,CSE,61,No,No,0,Advanced,No,No
30.0,80,84,tier2,B.E,IT,62,Yes,No,0,Novice,Yes,No
31.0,95,61,tier3,B.E,CIVIL,88,Yes,Yes,99,Intermediate,No,No
32.0,72,75,tier3,B.E,CSE,88,Yes,Yes,54,Advanced,Yes,No
33.0,82,58,tier3,BTech,MECH,66,Ongoing,No,0,Novice,No,No
34.0,80,58,tier3,BTech,DS&AI,93,No,Yes,99,Advanced,No,No
35.0,88,64,tier3,B.E,MECH,88,Ongoing,Yes,67,Novice,Yes,No
36.0,74,57,tier3,B.E,CSE,62,Yes,No,0,Advanced,No,No
37.0,73,79,tier3,BTech,CIVIL,84,No,Yes,35,Intermediate,No,No
38.0,73,90,tier1,B.E,DS&AI,66,Yes,No,0,Novice,No,No
39.0,74,96,tier1,B.E,ECE,86,No,Yes,69,Advanced,Yes,No
40.0,81,87,tier2,B.E,CIVIL,76,No,Yes,61,Advanced,No,No
41.0,93,59,tier3,B.E,IT,71,No,No,0,Advanced,No,No
42.0,91,84,tier2,B.E,MECH,93,Ongoing,Yes,40,Novice,No,No
43.0,68,66,tier3,BTech,EEE,76,No,Yes,53,Intermediate,No,No
44.0,95,68,tier3,BTech,IT,65,Yes,No,0,Intermediate,No,No
45.0,80,55,tier3,B.E,EEE,60,No,No,0,Advanced,Yes,No
46.0,80,80,tier2,B.E,EEE,95,Ongoing,Yes,50,Intermediate,No,No
47.0,70,92,tier1,B.E,EEE,77,Ongoing,Yes,83,Novice,No,No
48.0,85,62,tier3,BTech,EEE,70,Ongoing,No,0,Intermediate,Yes,No
